PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Black,Female,29,,22 feet to 25 feet,Male,Black,34,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0016,01/08/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,Asian/Pacifi,Male,33,,4 feet to 6 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes,,Escape,No
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,22 feet to 25 feet,Male,Black,34,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,22 feet to 25 feet,Male,Black,36,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Black,Female,29,,22 feet to 25 feet,Male,Black,36,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Black,Female,29,,22 feet to 25 feet,,,23,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0012,01/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,22 feet to 25 feet,,,23,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0013,01/07/2016,FOB - Field Operations Bureau,7th District,Night Watch,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser,Mentally unstable,Yes,Black,Male,40,,4 feet to 6 feet,Male,Black,,Medium,5'10'' to 6'0'',No,Yes,No,,Other,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Hands,None detected,No,Black,Female,35,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Hands,None detected,No,Black,Male,26,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Hands,None detected,No,White,Male,26,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,CEW Deployment,None detected,Yes,Black,Male,46,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Firearm (Exhibited),None detected,No,Black,Male,59,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0014,01/07/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Hands,None detected,No,Black,Male,59,,0 feet to 1 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0015,01/08/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,White,Male,48,,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0015,01/08/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,Black,Male,46,,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0015,01/08/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,Black,Male,60,,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0015,01/08/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,Black,Male,39,,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0015,01/08/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,Mentally unstable,Limited,Black,Female,38,,0 feet to 1 feet,Male,Black,57,XLarge,6'1'' to 6'3'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0016,01/08/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,Unknown,Yes,Black,Male,32,,4 feet to 6 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes,,Escape,No
FTN2016-0016,01/08/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,Unknown,No,White,Male,29,,4 feet to 6 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes,,Escape,No
FTN2016-0016,01/08/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,Unknown,Yes,Black,Male,27,,4 feet to 6 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes,,Escape,No
FTN2016-0017,01/09/2016,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,,,Completed,Use Of Force Authorized,Call for Service,Poor,Other,Force (Take Down),Unknown,Yes,Black,Male,37,,1 feet to 3 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,No,No,,Other,No
FTN2016-0017,01/09/2016,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,,,Completed,Use Of Force Authorized,Call for Service,Poor,Other,Force (Take Down),Unknown,Yes,Not Specifie,Male,27,,1 feet to 3 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,No,No,,Other,No
FTN2016-0018,01/09/2016,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Take Down),Unknown,Yes,Not Specifie,Male,27,,7 feet to 10 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,No,Yes,,Other,Yes
FTN2016-0018,01/09/2016,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Deployment,Unknown,No,Not Specifie,Male,27,,7 feet to 10 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,No,Yes,,Other,Yes
FTN2016-0019,01/10/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Hands,None detected,No,Black,Female,42,,1 feet to 3 feet,Female,Black,27,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0019,01/10/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Hands,None detected,No,Black,Male,54,,1 feet to 3 feet,Female,Black,27,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0019,01/10/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Other,None detected,Yes,Black,Male,54,,1 feet to 3 feet,Female,Black,27,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0020,01/10/2016,FOB - Field Operations Bureau,Administrative Support Unit,,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),Alchohol and unknown drugs,Yes,Black,Male,28,,7 feet to 10 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0020,01/10/2016,FOB - Field Operations Bureau,Administrative Support Unit,,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),Alchohol and unknown drugs,Yes,White,Male,63,,7 feet to 10 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0020,01/10/2016,FOB - Field Operations Bureau,Administrative Support Unit,,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),Alchohol and unknown drugs,Yes,White,Male,37,,7 feet to 10 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0020,01/10/2016,FOB - Field Operations Bureau,Administrative Support Unit,,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),Alchohol and unknown drugs,Yes,White,Male,46,,7 feet to 10 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Deployment,None detected,No,White,Male,29,,11 feet to 14 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Exhibited/Laser,None detected,No,Black,Male,27,,11 feet to 14 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down),None detected,Yes,Black,Male,27,,11 feet to 14 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Deployment,None detected,No,White,Male,29,,11 feet to 14 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Exhibited/Laser,None detected,No,Black,Male,27,,11 feet to 14 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0021,01/11/2016,FOB - Field Operations Bureau,5th District,5th District,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down),None detected,Yes,Black,Male,27,,11 feet to 14 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0022,01/11/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Take Down),Alchohol,Yes,White,Male,39,,0 feet to 1 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0022,01/11/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands,Alchohol,Yes,White,Male,39,,0 feet to 1 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0022,01/11/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Take Down),Alchohol,Yes,White,Male,38,,0 feet to 1 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0022,01/11/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands,Alchohol,Yes,White,Male,38,,0 feet to 1 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0023,01/11/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),Mentally unstable,No,Black,Male,34,,1 feet to 3 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2016-0023,01/11/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,Mentally unstable,Yes,Black,Male,34,,1 feet to 3 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2016-0023,01/11/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,Mentally unstable,Yes,Hispanic,Male,28,,1 feet to 3 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2016-0024,01/11/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,None detected,Yes,Black,Male,34,,0 feet to 1 feet,Male,Black,22,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0024,01/11/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,35,,0 feet to 1 feet,Male,Black,22,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0024,01/11/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,None detected,Yes,Black,Male,35,,0 feet to 1 feet,Male,Black,22,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0026,01/12/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,11 feet to 14 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0026,01/12/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,11 feet to 14 feet,Male,White,33,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0027,01/13/2016,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (Bite),Unknown,Yes,Black,Male,58,,1 feet to 3 feet,Male,Black,30,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0027,01/13/2016,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (Bite),Unknown,Yes,Black,Male,58,,1 feet to 3 feet,Male,Black,30,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Asian/Pacifi,Male,31,,1 feet to 3 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,42,,1 feet to 3 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,42,,1 feet to 3 feet,Female,Black,30,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Asian/Pacifi,Male,31,,1 feet to 3 feet,Female,Black,30,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,36,,1 feet to 3 feet,Female,Black,30,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0031,01/14/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),None detected,Yes,Black,Male,48,,0 feet to 1 feet,Male,Black,44,Medium,5'4'' to 5'6'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,36,,1 feet to 3 feet,Male,Black,62,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Asian/Pacifi,Male,31,,1 feet to 3 feet,Male,Black,62,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,42,,1 feet to 3 feet,Male,Black,62,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,42,,1 feet to 3 feet,Female,Black,20,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Asian/Pacifi,Male,31,,1 feet to 3 feet,Female,Black,20,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0028,01/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,36,,1 feet to 3 feet,Female,Black,20,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
