Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2018-0512-P,2018-09-16,2018-09-16,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Hispanic,Male,30,,,,
Rank Initiated,2018-0513-R,2018-02-16,2018-09-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,42,,,,
Rank Initiated,2018-0338-R,2018-06-06,2018-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,26,,,,
Public Initiated,2018-0512-P,2018-09-16,2018-09-16,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,30,,,,
Public Initiated,2018-0234-P,2018-04-16,2018-04-18,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,29,,Female,Black,
Public Initiated,2018-0428-N,2018-07-21,2018-08-03,2018-08-29,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,White,Male,27,,,,
Public Initiated,2018-0283-P,2018-05-15,2018-05-15,2018-09-25,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Female,34,,Female,Black,
Public Initiated,2018-0379-P,2017-12-13,2018-07-12,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,,,Black,Female,33,,Male,Black,40
Public Initiated,2018-0341-P,2018-06-17,2018-06-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,25,,,,
Public Initiated,2018-0415-P,2018-01-11,2018-07-30,,DI-1,Forwarded,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Female,31,,Female,Black,
Public Initiated,2018-0341-P,2018-06-17,2018-06-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,43,,,,
Public Initiated,2017-0599-P,2017-10-14,2017-10-14,2018-10-03,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,54,,,,
Public Initiated,2018-0412-P,2018-06-25,2018-07-26,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,29,,Male,Black,40
Public Initiated,2017-0599-P,2017-10-14,2017-10-14,2018-10-03,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,54,,Male,Black,24
Public Initiated,2018-0000-T,2018-09-03,2018-09-14,,,Initial,Pending,MSB - Management Service Bureau,Administrative Duties Services,Workmans Compensation,,,,,,,,,,Female,Black,0
Rank Initiated,2018-0533-R,2018-09-20,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,37,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,,,
Rank Initiated,2018-0273-R,2018-05-10,2018-05-10,2018-10-05,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,2nd District,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,32,,,,
Public Initiated,2018-0436-P,2018-08-07,2018-08-08,2018-10-05,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,3rd District,A Platoon,,,,,,Black,Female,47,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,27,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,34,,,,
Public Initiated,2018-0199-P,2018-03-08,2018-04-02,2018-10-05,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,41,,,,
Public Initiated,2018-0499-R,,2018-09-08,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,,,,,
Public Initiated,2018-0470-P,2018-08-25,2018-08-29,2018-10-01,DI-1,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,Unknown,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,25,,Female,Black,
Rank Initiated,2018-0483-R,2018-09-01,2018-09-01,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Task Force A,,,,RULE 4: PERF OF DUTY,PARAGRAPH 06 - LEAVING ASSIGNED AREA,Black,Male,39,,,,
Rank Initiated,2018-0344-R,2018-06-19,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,Re-Assigned,,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,White,Male,31,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,28,,,,
Rank Initiated,2017-0269-R,2017-04-26,2017-05-09,2018-10-05,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Workmans Compensation,,Unknown Working Status,,RULE 5: REST ACTIVITIES,PARAGRAPH 01 - FICTITIOUS ILLNESS OR INJURY,Black,Male,35,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,35,,,,
Rank Initiated,2018-0533-R,2018-09-20,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,44,,,,
Rank Initiated,2018-0342-R,2018-06-17,2018-06-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,34,,,,
Public Initiated,2018-0347-P,2017-08-05,2018-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Narcotics,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,33,,,,
Rank Initiated,2018-0342-R,2018-06-17,2018-06-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,25,,,,
Public Initiated,2018-0199-P,2018-03-08,2018-04-02,2018-10-05,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,25,,,,
Rank Initiated,2018-0549-R,2018-10-02,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,48,,,,
Rank Initiated,2018-0334-R,2018-05-23,2018-06-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,42,,,,
Public Initiated,2017-0191-P,2017-03-29,2017-03-30,2018-10-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,Regular Working,Between 11pm-7am,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Female,45,,Female,Black,40
Public Initiated,2017-0191-P,2017-03-29,2017-03-30,2018-10-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,Regular Working,Between 11pm-7am,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Male,61,,Female,Black,40
Public Initiated,2018-0548-N,2018-05-21,2018-10-05,,NFIM,Forwarded,Pending,Not - NOPD Officer,,Not-NOPD Officer,,Unknown Working Status,,NO VIOLATION OBSERVED,,,,,,Female,Race-Unknown,
Public Initiated,2018-0289-P,2018-05-16,2018-05-16,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Unknown District/Division,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,41,,,,
Public Initiated,2017-0191-P,2017-03-29,2017-03-30,2018-10-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,Regular Working,Between 11pm-7am,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Male,62,,Female,Black,40
Rank Initiated,2018-0408-R,2018-07-24,2018-07-24,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Reserve Division,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Not Specifie,N,83,,Male,White,34
Public Initiated,2018-0289-P,2018-05-16,2018-05-16,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Unknown District/Division,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,32,,,,
Rank Initiated,2018-0462-R,2018-08-22,2018-08-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,23,,,,
Public Initiated,2018-0528-N,2018-05-02,2018-09-21,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,36,,Male,Black,
Public Initiated,2018-0354-P,2018-06-22,2018-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,,,Black,Female,42,,Female,Black,41
Rank Initiated,2016-0602-R,,2016-09-15,2018-10-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,,,
Public Initiated,2018-0535-P,2018-09-22,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,46,,Female,Black,44
Public Initiated,2018-0527-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,57,,Male,Black,50
Public Initiated,2018-0520-P,2018-08-02,2018-09-28,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,56,,Female,Black,48
Rank Initiated,2018-0503-D,2019-09-11,2018-09-12,2018-10-02,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,43,,,,
Public Initiated,2018-0458-P,2018-07-04,2018-08-23,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,32,,Male,Black,28
Public Initiated,2018-0526-P,2018-09-21,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,Black,Male,53,,Male,Black,
Public Initiated,2018-0535-P,2018-09-22,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,29,,Female,Black,44
Rank Initiated,2017-0557-R,2016-10-08,2017-10-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,40,,,,
Public Initiated,2018-0531-P,2018-09-22,2018-09-25,,Mediation,Active,Pending,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,36,,Male,Black,46
Public Initiated,2018-0519-P,2018-06-22,2018-09-20,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Asian/Pacifi,Male,41,,Female,Black,40
Public Initiated,2018-0531-P,2018-09-22,2018-09-25,,Mediation,Active,Pending,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,36,,,,
Public Initiated,2018-0544-P,2009-11-28,2018-10-02,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,Criminal Investigation Section,Special Victims  Section,Investigations,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,33,,Male,Black,45
Public Initiated,2018-0523-P,2018-09-19,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,33,,Female,Black,55
Public Initiated,2018-0556-P,2018-10-07,2018-10-09,,,Initial,Pending,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,24,,,,
Public Initiated,2018-0556-P,2018-10-07,2018-10-09,,,Initial,Pending,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,27,,,,
Rank Initiated,2017-0557-R,2016-10-08,2017-10-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,41,,,,
Rank Initiated,2018-0541-R,2018-08-19,2018-10-01,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,2nd District,Task Force A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,29,,,,
Public Initiated,2018-0544-P,2009-11-28,2018-10-02,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,Criminal Investigation Section,Special Victims  Section,Investigations,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,36,,Male,Black,45
Public Initiated,2018-0523-P,2018-09-19,2018-09-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,36,,Female,Black,55
Rank Initiated,2018-0541-R,2018-08-19,2018-10-01,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,2nd District,Task Force A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,42,,,,
Public Initiated,2018-0525-P,2018-08-31,2018-09-20,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,41,,M,W,
Rank Initiated,2018-0558-R,2018-10-06,2018-10-09,,,Initial,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Juvenile Section,3rd Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,53,,,,
Public Initiated,2018-0538-P,2018-09-26,2018-09-28,,Mediation,Active,Pending,FOB - Field Operations Bureau,3rd District,Task Force A,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Female,39,,Female,Black,48
Public Initiated,2018-0537-P,2018-08-17,2018-09-28,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,62,,,,
Rank Initiated,2018-0536-R,2018-09-01,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Mounted,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,Black,Male,52,,,,
Rank Initiated,2018-0540-R,2018-09-21,2018-10-01,,DI-1,Active,Pending,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,59,,,,
Rank Initiated,2018-0534-R,2018-08-26,2018-09-24,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,46,,,,
Public Initiated,2018-0522-P,2018-09-04,2018-09-19,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,41,,Male,Black,49
Rank Initiated,2018-0536-R,2018-09-01,2018-09-27,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Mounted,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,Hispanic,Male,54,,,,
Rank Initiated,2018-0551-R,2018-10-04,2018-10-05,,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,40,,,,
Rank Initiated,2018-0570-R,2018-04-19,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,D.I.U.,Property,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,Black,Male,36,,,,
Public Initiated,2018-0546-P,2018-10-02,2018-10-05,,DI-1,Initial,Pending,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,35,,Male,Black,
Rank Initiated,2018-0570-R,2018-04-19,2018-10-12,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,D.I.U.,Property,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,Black,Male,56,,,,
Public Initiated,2018-0553-P,2018-08-05,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,26,,,,
Public Initiated,2018-0561-P,2018-10-07,2018-10-10,,DI-1,Initial,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,39,,Female,,21
Public Initiated,2018-0573-P,,2018-10-12,,,Initial,Pending,,,,,,,,,White,Female,,,,,
Public Initiated,2018-0553-P,2018-08-05,2018-10-05,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,26,,Male,Black,
Public Initiated,2018-0546-P,2018-10-02,2018-10-05,,DI-1,Initial,Pending,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,Black,
Public Initiated,2018-0450-P,2018-04-25,2018-08-16,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,26,,Female,White,
Public Initiated,2018-0454-P,2018-08-18,2018-08-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,30,,Female,Black,59
Public Initiated,2018-0543-P,2018-10-01,2018-10-02,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,40,,Male,Black,44
Public Initiated,2018-0554-P,2018-10-02,2018-10-08,,,Initial,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Male,28,,,,
